647
1334
DAI62779	ELE17451	1592	0.23878806059697016	0.41083870967741937
FRO40251	SNA80324	1412	0.3638237567637207	0.46386333771353483
DAI75645	FRO40251	1254	0.4583333333333333	0.3231125998454007
FRO40251	GRO85051	1213	0.3125483122906467	0.999176276771005
DAI62779	GRO73461	1139	0.17084145792710365	0.3162132148806219
DAI75645	SNA80324	1130	0.4130116959064328	0.3712220762155059
DAI62779	FRO40251	1070	0.16049197540122995	0.27570213862406595
DAI62779	SNA80324	923	0.13844307784610768	0.3032194480946124
DAI62779	DAI85309	918	0.13769311534423279	0.40034888791975576
ELE32164	GRO59710	911	0.31953700455980355	0.4545908183632735
