13
FRO40251	GRO85051	SNA80324	259	0.213520197856554	0.18342776203966005	0.5498938428874734
FRO40251	FRO92469	SNA80324	164	0.19640718562874251	0.11614730878186968	0.4659090909090909
DAI75645	FRO40251	GRO85051	154	0.12280701754385964	0.389873417721519	0.12695795548227534
DAI62779	ELE17451	GRO30386	137	0.08605527638190955	0.19322990126939352	0.29273504273504275
DAI62779	ELE17451	FRO40251	134	0.08417085427135679	0.1252336448598131	0.19225251076040173
DAI62779	FRO40251	FRO92469	121	0.1130841121495327	0.5	0.14491017964071856
DAI62779	SNA53220	SNA93860	121	0.4879032258064516	0.22532588454376165	0.4763779527559055
DAI62779	DAI75645	FRO40251	115	0.13038548752834467	0.10747663551401869	0.09170653907496013
DAI62779	FRO40251	GRO85051	115	0.10747663551401869	0.3010471204188482	0.09480626545754328
DAI55148	DAI62779	SNA80324	110	0.20912547528517111	0.32448377581120946	0.11917659804983749
